Custom-classification-epoch,Custom-classification-lr-SGD/pg1,Custom-classification-lr-SGD/pg2,Custom-classification-train_loss,Custom-classification-valid_mac_acc,Custom-classification-valid_mic_acc,step
,0.01,0.01,,,,9
0,,,1.5766792297363281,,,9
,0.01,0.01,,,,19
0,,,1.4666732549667358,,,19
,0.01,0.01,,,,29
0,,,1.6351162195205688,,,29
,0.01,0.01,,,,39
0,,,1.8664116859436035,,,39
,0.01,0.01,,,,49
0,,,2.1890711784362793,,,49
,0.01,0.01,,,,59
0,,,1.3645098209381104,,,59
,0.01,0.01,,,,69
0,,,1.6398001909255981,,,69
,0.01,0.01,,,,79
0,,,1.213688611984253,,,79
,0.01,0.01,,,,89
0,,,1.7339657545089722,,,89
,0.01,0.01,,,,99
0,,,1.2252345085144043,,,99
,0.01,0.01,,,,109
0,,,1.332526683807373,,,109
0,,,,44.83333206176758,44.83333206176758,112
,0.01,0.01,,,,119
1,,,1.2653248310089111,,,119
,0.01,0.01,,,,129
1,,,1.2069270610809326,,,129
,0.01,0.01,,,,139
1,,,1.0806794166564941,,,139
,0.01,0.01,,,,149
1,,,1.1794006824493408,,,149
,0.01,0.01,,,,159
1,,,1.656388759613037,,,159
,0.01,0.01,,,,169
1,,,1.0767285823822021,,,169
,0.01,0.01,,,,179
1,,,0.9007934331893921,,,179
,0.01,0.01,,,,189
1,,,0.940567135810852,,,189
,0.01,0.01,,,,199
1,,,1.2437635660171509,,,199
,0.01,0.01,,,,209
1,,,1.0546958446502686,,,209
,0.01,0.01,,,,219
1,,,0.9297084808349609,,,219
1,,,,57.25,57.25,225
,0.01,0.01,,,,229
2,,,1.1813223361968994,,,229
,0.01,0.01,,,,239
2,,,0.9213227033615112,,,239
,0.01,0.01,,,,249
2,,,0.846778392791748,,,249
,0.01,0.01,,,,259
2,,,0.9690927267074585,,,259
,0.01,0.01,,,,269
2,,,0.8839862942695618,,,269
,0.01,0.01,,,,279
2,,,0.9162077903747559,,,279
,0.01,0.01,,,,289
2,,,0.79756760597229,,,289
,0.01,0.01,,,,299
2,,,1.0738608837127686,,,299
,0.01,0.01,,,,309
2,,,0.8882397413253784,,,309
,0.01,0.01,,,,319
2,,,0.7409261465072632,,,319
,0.01,0.01,,,,329
2,,,1.4624768495559692,,,329
2,,,,64.08333587646484,64.08333587646484,338
